clip_id,filepath,class,speaker_id,speaker_gender,speaker_age_range,environment,device,language,duration_s,peak,rms,snr_db_est,recorded_at,split
1,raw/tono/Sebas_s01_000001.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3303,0.0199,41.0,2026-05-16T22:05:55+00:00,train
2,raw/tono/Sebas_s02_000002.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2284,0.0192,35.89,2026-05-16T22:06:02+00:00,train
3,raw/tono/Sebas_s03_000003.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2981,0.0196,41.89,2026-05-16T22:06:08+00:00,train
4,raw/tono/Sebas_s04_000004.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4948,0.0249,42.73,2026-05-16T22:06:15+00:00,test
5,raw/tono/Sebas_s05_000005.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2263,0.0178,39.75,2026-05-16T22:06:21+00:00,val
6,raw/tono/Sebas_s06_000006.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2702,0.0177,35.5,2026-05-16T22:06:28+00:00,train
7,raw/tono/Sebas_s07_000007.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2802,0.0197,31.31,2026-05-16T22:06:34+00:00,train
8,raw/tono/Sebas_s08_000008.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3089,0.0221,37.59,2026-05-16T22:06:41+00:00,train
9,raw/tono/Sebas_s09_000009.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2707,0.0191,42.31,2026-05-16T22:06:47+00:00,train
10,raw/tono/Sebas_s10_000010.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.24,0.0164,38.5,2026-05-16T22:06:53+00:00,test
11,raw/tono/Sebas_s11_000011.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2943,0.0206,41.89,2026-05-16T22:07:00+00:00,test
12,raw/tono/Sebas_s12_000012.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2872,0.0231,38.23,2026-05-16T22:07:06+00:00,val
13,raw/tono/Sebas_s13_000013.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2649,0.0204,38.42,2026-05-16T22:07:13+00:00,train
14,raw/tono/Sebas_s14_000014.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3076,0.0178,41.57,2026-05-16T22:07:19+00:00,train
15,raw/tono/Sebas_s15_000015.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3225,0.0163,40.17,2026-05-16T22:07:26+00:00,train
