clip_id,filepath,class,speaker_id,speaker_gender,speaker_age_range,environment,device,language,duration_s,peak,rms,snr_db_est,recorded_at,split
1,raw/tono/Sebas_s01_000001.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3303,0.0199,41.0,2026-05-16T22:05:55+00:00,train
2,raw/tono/Sebas_s02_000002.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2284,0.0192,35.89,2026-05-16T22:06:02+00:00,train
3,raw/tono/Sebas_s03_000003.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2981,0.0196,41.89,2026-05-16T22:06:08+00:00,train
6,raw/tono/Sebas_s06_000006.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2702,0.0177,35.5,2026-05-16T22:06:28+00:00,train
7,raw/tono/Sebas_s07_000007.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2802,0.0197,31.31,2026-05-16T22:06:34+00:00,train
8,raw/tono/Sebas_s08_000008.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3089,0.0221,37.59,2026-05-16T22:06:41+00:00,train
9,raw/tono/Sebas_s09_000009.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2707,0.0191,42.31,2026-05-16T22:06:47+00:00,train
13,raw/tono/Sebas_s13_000013.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2649,0.0204,38.42,2026-05-16T22:07:13+00:00,train
14,raw/tono/Sebas_s14_000014.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3076,0.0178,41.57,2026-05-16T22:07:19+00:00,train
15,raw/tono/Sebas_s15_000015.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3225,0.0163,40.17,2026-05-16T22:07:26+00:00,train
16,raw/tono/Sebas_s16_000016.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2805,0.0188,40.46,2026-05-16T22:07:32+00:00,train
17,raw/tono/Sebas_s17_000017.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2366,0.0151,37.78,2026-05-16T22:07:39+00:00,train
18,raw/tono/Sebas_s18_000018.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3371,0.0198,42.63,2026-05-16T22:07:45+00:00,train
19,raw/tono/Sebas_s19_000019.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2861,0.0163,40.28,2026-05-16T22:07:51+00:00,train
20,raw/tono/Sebas_s20_000020.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2497,0.0174,35.18,2026-05-16T22:07:58+00:00,train
